"返品日","注文番号","出品者SKU","ASIN","FNSKU","商品名","数量","FC","商品の状態","理由","lpn","お客様のコメント"
"2022-04-22T08:44:15+09:00","250-4060768-5980669","ZF-2SU1-0BTA","B07SXR9R43","X000RS9911","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063618393",
"2022-04-21T14:16:02+09:00","503-3884515-9451809","TV-KRHB-L7VJ","B0983P7ZQ2","X000Y3RL0Z","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","ウェブサイトの説明と違う","LPNOS063215348","24.5とサイズ指定されていたが、実際には23しかない。 小さすぎて使えない。"
"2022-04-20T13:38:27+09:00","250-4964494-9982213","7X-XMTH-ED40","B07SVL7M3S","X000RRDNGJ","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS069135041","サイズが小さかったので返品してもう2サイズ大きいのを購入しなおします。"
"2022-04-19T16:34:33+09:00","250-3843447-0015830","SX-6PUQ-K56B","B089XYRGZB","X000UXXD1Z","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS063651544","汚れがある。シミがみられる。"
"2022-04-19T14:09:10+09:00","503-1119047-7147842","KU-4QVF-H97O","B07SSF9C9K","X000ROSLCD","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063238014","表記サイズよりもちいさい"
"2022-04-19T09:35:36+09:00","503-5068130-8347069","LW-8PD5-8DC1","B07RS9PZVZ","X000RKI7FX","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063699385","サイズ表記を見て、ワンサイズ大きめを注文しましたが、それでも小さく、動きにくそうなので返品を希望します。"
"2022-04-16T14:07:22+09:00","503-6290081-1620627","FN-VIR3-GDHQ","B07RN3R4CY","X000RJ3M1D","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063643261","ランドセル対応とのことで表示どおりにサイズを購入しましたが、ランドセルを背負った状態で試着したところ、きつくて前ファスナーが閉められず、袖も通すのがきつかったので、サイズ交換を希望致します。 よろしくお願いいたします。"
"2022-04-16T09:29:21+09:00","249-0953887-1999005","22-BGZI-G4D5","B0782YMNPM","X000WRDOQN","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS062996252",
"2022-04-15T14:00:02+09:00","250-4269669-8431848","7X-XMTH-ED40","B07SVL7M3S","X000RRDNGJ","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","KIX4","販売可","アパレル商品 - サイズが小さすぎる","LPNOS069135041","ランドセルをからうと 前のファスナーがパツパツでとまらない。"
"2022-04-13T16:11:07+09:00","250-0446777-9729455","SN-NFFV-BYW0","B089WHXT1Z","X000UXRIBL","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063699090","子供用に購入したがやや窮屈。"
"2022-04-12T11:38:32+09:00","503-6096709-2871814","ZF-2SU1-0BTA","B07SXR9R43","X000RS9911","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063116998","サイズが小さ過ぎたので交換したい"
"2022-04-12T11:29:01+09:00","503-5553347-5383860","28-JBW4-RJOM","B098DWTGXY","X000Y4QZQF","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","KIX4","DAMAGED","服のスタイルが好みに合わなかった","LPNOS066371488",
"2022-04-11T16:11:28+09:00","250-2235676-6130268","EQ-E9S7-QXE3","B07K5QMCP2","X000RT5CCP","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","1","NRT5","販売可","不要な商品","LPNOS063504800","子どもが着てくれなかったため。"
"2022-04-10T15:50:40+09:00","249-9754955-1217460","RD-N19Y-ZKZI","B08L4KJDDL","X000VZDWIV","【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (XL:18","1","NRT5","DAMAGED","不要な商品","LPNOS063436023",
"2022-04-10T14:23:37+09:00","250-8168789-2065441","6R-P7SR-5Z4X","B07SSKF9KP","X000RT7GZB","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063471680","丈が短い"
"2022-04-07T14:00:29+09:00","250-6847165-0307841","M5-KPD9-RB5V","B07RP581QF","X000RKID9X","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS066048607","届いたその日に胸元のヒラヒラが簡単に取れました。新しい物と交換してください。"
"2022-04-07T12:05:09+09:00","249-0315303-1730255","53-C8NZ-UF4D","B0786KYY7Y","X000WRDOQ3","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS063419034","全体的に大きかったです。"
"2022-04-06T14:38:49+09:00","250-6524170-2459005","6H-040M-0Z6H","B077WJ3XKY","X000YPFS2V","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","DAMAGED","注文間違い","LPNOS067381659",
"2022-04-06T13:40:55+09:00","503-5541211-7611823","6Q-6OGN-08FY","B098DWN14D","X000Y4RO8N","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XXL)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS062808875","通常サイズ選んだが大きい"
"2022-04-06T12:02:40+09:00","503-3738665-5912627","LM-W2YT-YFF8","B07RQ4PJML","X000RKHTKR","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063421962","ランドセルを背負ったままだと小さすぎる。"
"2022-04-05T14:31:03+09:00","250-0064103-2695856","0R-13SI-4BUS","B089WJCGT7","X000UXQ6MN","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS065310280","小さくて入らない。"
