"返品日","注文番号","出品者SKU","ASIN","FNSKU","商品名","数量","FC","商品の状態","理由","lpn","お客様のコメント"
"2022-10-07T15:20:42+09:00","250-6608313-3335824","CR-UG42-OR8Z","B07SSDVJYF","X000RQCC3P","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","KIX4","販売可","受取人不明のため配送不可","LPNOS080417992",
"2022-10-01T16:41:30+09:00","249-5563408-7687854","EW-TDOM-26PY","B089WHLQGT","X000UXQ6N7","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","KIX4","DAMAGED","欠陥品・不良品","LPNOS077149920",
"2022-09-30T12:21:08+09:00","249-2837730-1435047","6W-YIXA-ZQ6P","B07RTLQZM8","X000RLFY5X","【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット","1","NRT5","欠陥品・不良品","別の商品が届いた","LPNOS075254873","smart-bear のキッズ靴下 という箱に入っておりますが、頼んだ車の靴下ではありませんでした。"
"2022-09-30T10:33:25+09:00","249-8546267-2698231","0R-13SI-4BUS","B089WJCGT7","X000UXQ6MN","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","KIX4","販売可","アパレル商品 - サイズが小さすぎる","LPNOS077087057","靴によって大きさが違うので、普段履いているサイズより小さかったように思います。"
"2022-09-30T08:15:11+09:00","503-9568839-3241442","PK-LF7F-7NQF","B077VTPBC2","X000R151B5","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ","1","NRT5","販売可","注文間違い","LPNOS062841345","order created by accident"
"2022-09-29T16:29:08+09:00","250-3484410-8701464","HU-4C3A-YQ59","B07RN3T64S","X000RKIE15","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","NRT5","販売可","受取人不明のため配送不可","LPNOS077773336",
"2022-09-24T21:05:45+09:00","250-7014988-6543846","U2-MUDQ-N4ZK","B0782TQTTP","X000WRDPO9","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)","1","NRT5","販売可","服のスタイルが好みに合わなかった","LPNOS078165021","着用感が合わなかったので"
"2022-09-23T21:08:11+09:00","249-3442588-6067830","C8-VY3A-HL06","B07RRJ5TNV","X000RJ6T1D","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","1","NRT5","DAMAGED","理由が記載されていない","LPNOS078136497",
"2022-09-20T11:53:32+09:00","250-4489309-3564628","22-BGZI-G4D5","B0782YMNPM","X000WRDOQN","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)","1","KIX4","販売可","アパレル商品 - サイズが大きすぎる","LPNOS079336609","サイズが大きすぎた。"
"2022-09-18T12:42:44+09:00","250-3553812-2141410","DU-P06F-VJBB","B07RTHQ2KZ","X000RJ3OBB","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","KIX4","販売可","受取人不明のため配送不可","LPNOS075202401",
"2022-09-18T09:24:21+09:00","249-6570294-4507033","70-ZTNW-C5FQ","B07SSJJQY6","X000RRFKJR","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS078313985","小さすぎて着れなかった"
"2022-09-18T09:24:21+09:00","249-6570294-4507033","6R-P7SR-5Z4X","B07SSKF9KP","X000RT7GZB","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS078313984","小さすぎて着れなかった"
"2022-09-14T08:26:41+09:00","503-5441920-8087032","O6-48G1-BEO9","B077WKV76K","X000YPEU5R","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","KIX2","カスタマーによる損傷","既存のシステムと互換性がない","LPNOS080007057",
"2022-09-12T09:22:48+09:00","249-3538077-8895832","HI-AN83-A4ZL","B089Y5BKR6","X000UXXD15","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS075251733","中の布の部分にマジックで書いたよごれがある。 変な折り目のようなすじがある。"
"2022-09-11T16:53:15+09:00","503-1969353-9829419","DH-BSJW-QLKQ","B093G83MXN","X000XK93N7","【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 ","1","NRT5","販売可","受取人不明のため配送不可","LPNOS074936247",
"2022-09-07T02:57:34+09:00","250-2296312-3503848","JC-9CLM-Q8BL","B07SR6GSLT","X000YPEVHT","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ","1","HND3","欠陥品・不良品","性能/品質が期待していたほどではない","LPNOS074627469","傷、汚れが目立つ。中古品並みである。"
"2022-09-06T08:06:54+09:00","249-2638490-4081423","F4-DJYL-ZFI7","B07RR6Y96L","X000RKIE0V","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS075560765","胸元のレースが外れていました。 サイズももうワンサイズ大きいものにしたいと思っています。"
"2022-09-05T15:00:20+09:00","249-0137546-2174217","A5-0ORL-RJOS","B089Y6YY1T","X000UXXD6P","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","KIX2","販売可","受取人不明のため配送不可","LPNOS078509728",
"2022-08-23T15:02:30+09:00","249-6933651-9113424","O6-48G1-BEO9","B077WKV76K","X000YPEU5R","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","カスタマーによる損傷","性能/品質が期待していたほどではない","LPNOS064906582",
"2022-08-13T12:26:36+09:00","249-0400124-6756637","8Q-VTYS-YQ5Z","B07RNDQ5S7","X000RMJ4KD","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","KIX4","カスタマーによる損傷","欠陥品・不良品","LPNOS074711495",
"2022-08-09T12:01:46+09:00","503-3713217-5530228","AF-0BOJ-58FU","B07RP5RVVV","X000RJ3N49","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ","1","NRT5","販売可","ウェブサイトの説明と違う","LPNOS067675517","縫い目に防水加工施してあると書いてありましたがシームテープなど一切加工した様子もなくただ撥水生地を縫い合わせてるものでした。"
"2022-08-05T11:34:27+09:00","249-2314052-0623061","CZ-F8XU-0AJY","B0B1VPF2MH","X0010V0F21","【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS073400203","サイズが小さい"
"2022-07-31T12:13:16+09:00","503-2927126-6193439","JW-V3Y7-VVWA","B0888BTMJQ","X000UMZPWB","【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足","1","NRT5","DAMAGED","アパレル商品 - サイズが小さすぎる","LPNOS073953882",
"2022-07-28T00:54:47+09:00","249-4886476-2599029","JC-9CLM-Q8BL","B07SR6GSLT","X000YPEVHT","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ","1","HND3","欠陥品・不良品","性能/品質が期待していたほどではない","LPNOS070934709","今日受け取りました。商品は新品のものを注文しましたが、USB差し込み口には茶色いシミのような汚れがあり、他の部分も汚れていましたので、これが新品とは全く思えません。茶色のシミは今後故障の原因にもなるかもしれないので、再度新しいものと交換願います。"
"2022-07-27T08:41:51+09:00","249-4775582-2043014","IR-I1X3-ET6M","B07S4K7DXF","X000YPFV3R","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレス","1","HND3","欠陥品・不良品","欠陥品・不良品","LPNOS070370783","何度やっても充電ができないです。 色んなタイプのコンセントにさすUSBで試しましたが、一日充電してもされません。Apple Watchの正規の充電コードでは充電できるのでApple Watch本体の故障では無いと思います。"
"2022-07-26T17:31:42+09:00","249-7913754-5206255","6H-040M-0Z6H","B077WJ3XKY","X000YPFS2V","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","DAMAGED","既存のシステムと互換性がない","LPNOS070072540",
"2022-07-26T17:12:27+09:00","250-3062994-7867020","74-MTWF-NKK7","B098DYTNQM","X000Y4RQZT","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","DAMAGED","服のスタイルが好みに合わなかった","LPNOS071455639",
"2022-07-25T21:31:05+09:00","250-7749003-2113415","70-ZTNW-C5FQ","B07SSJJQY6","X000RRFKJR","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS074330299","丈が思ったよりも短かった"
"2022-07-17T17:58:02+09:00","250-9484298-2517402","6H-040M-0Z6H","B077WJ3XKY","X000YPFS2V","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","KIX2","カスタマーによる損傷","注文間違い","LPNOS072072409",
"2022-07-17T17:09:32+09:00","249-2608046-4199847","97-W48L-K89A","B07C7JX67Y","X000YPFN7L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","NRT5","販売可","受取人不明のため配送不可","LPNOS074388344",
"2022-07-15T14:28:42+09:00","249-1981124-7883824","6P-O9LV-C5GR","B09QHW3DXH","X000ZT0OO3","【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした","1","KIX4","販売可","受取人不明のため配送不可","LPNOS074137413",
"2022-07-13T16:07:37+09:00","503-6412226-3148600","MA-QSR9-916V","B0782PTKL2","X000WRECM3","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)","1","KIX4","販売可","アパレル商品 - サイズが大きすぎる","LPNOS072452450","3歳半の子供にはすこしおおきすぎました"
"2022-07-10T11:38:03+09:00","249-6583969-8506253","92-B6HQ-0C1S","B088D9JHGN","X000UNOU35","【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (純色","1","NRT5","DAMAGED","アパレル商品 - サイズが小さすぎる","LPNOS074500291",
"2022-07-01T13:52:28+09:00","503-2564207-1775038","97-W48L-K89A","B07C7JX67Y","X000YPFN7L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","NRT5","販売可","受取人不明のため配送不可","LPNOS071155258",
"2022-06-28T09:15:56+09:00","249-2124277-2198228","YV-GX4F-U1JK","B077VSN4H6","X000R15J6R","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホ","1","NRT5","DAMAGED","不要な商品","LPNOS071225120",
"2022-06-28T09:15:56+09:00","249-2124277-2198228","6I-0H96-18IA","B077VWS1WM","X000RJIWPT","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ","1","NRT5","販売可","不要な商品","LPNOS071225121","梅雨明けが早まり、雨が降る日数も減った為必要なくなった"
"2022-06-26T15:23:56+09:00","250-5001788-2788668","T1-N2NB-Q1TX","B07SY7458S","X000RSGZR7","【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (M)","1","KIX4","販売可","不要な商品","LPNOS069101152","必要なくなった"
"2022-06-23T11:26:23+09:00","249-1230329-0355848","JQ-MLRE-AH9L","B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","受取人不明のため配送不可","LPNOS069100582",
"2022-06-19T14:28:08+09:00","250-6163682-4682244","ZF-2SU1-0BTA","B07SXR9R43","X000RS9911","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","服のスタイルが好みに合わなかった","LPNOS071246830","イメージと違う"
"2022-06-10T18:12:42+09:00","249-9498156-5669455","DT-RMBK-MVUT","B07SRFJ9NM","X000ROSL5F","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","欠陥品・不良品","輸送中に破損/損傷","LPNOS071384891","汚れや数字が書いてある"
"2022-06-07T16:33:01+09:00","250-2328771-6851029","NS-7N9U-DWR1","B07SPV611N","X000RQ89I7","【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (M)","1","NRT5","DAMAGED","アパレル商品 - サイズが小さすぎる","LPNOS071405276",
"2022-06-07T11:29:48+09:00","250-3526729-5855836","BE-B6BI-INN8","B07RTLC13X","X000RLFVU1","【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男","1","KIX4","DAMAGED","アパレル商品 - サイズが大きすぎる","LPNOS065397600",
"2022-06-06T11:46:26+09:00","250-8493729-6119067","FK-SQOE-Y997","B0782N7XDJ","X000WRDZ6R","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS071164820","商品背部内側に塗装不良個所があり、コートが一部菲薄化している。雨天着用時に雨水が浸透しレインコートとしての機能を果たさないと思われる。"
"2022-06-05T16:35:57+09:00","503-3412335-9767032","O6-48G1-BEO9","B077WKV76K","X000YPEU5R","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","カスタマーによる損傷","既存のシステムと互換性がない","LPNOS072951827",
"2022-06-04T17:03:06+09:00","249-2728717-4259025","L7-WXI9-AW9P","B07RP6Q7SK","X000RMG0AZ","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","NRT5","DAMAGED","アパレル商品 - サイズが大きすぎる","LPNOS071384445",
"2022-06-01T11:34:02+09:00","503-5248268-6151068","6H-040M-0Z6H","B077WJ3XKY","X000YPFS2V","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","カスタマーによる損傷","欠陥品・不良品","LPNOS070098772",
"2022-05-30T16:49:30+09:00","503-1384983-4571858","53-C8NZ-UF4D","B0786KYY7Y","X000WRDOQ3","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS062474158","サイズが大きくて引きずってしまうくらいの丈でしたので返品交換をお願い致します。"
"2022-05-30T14:17:11+09:00","250-8488283-0767864","E4-2YPH-CGMT","B093G4J9DN","X000XKCC21","【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男","1","KIX4","DAMAGED","アパレル商品 - サイズが大きすぎる","LPNOS066457452",
"2022-05-28T14:30:59+09:00","249-5204394-6389452","LG-ANQR-6C9P","B07K5R541S","X000RS957T","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)","1","NRT5","販売可","受取人不明のため配送不可","LPNOS071136809",
"2022-05-21T14:42:05+09:00","249-7725551-1401411","JQ-MLRE-AH9L","B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","受取人不明のため配送不可","LPNOS065373944",
"2022-05-20T15:21:36+09:00","249-9329566-8955063","JW-V3Y7-VVWA","B0888BTMJQ","X000UMZPWB","【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足","1","NRT5","DAMAGED","欠陥品・不良品","LPNOS071342355",
