"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2023/03/01 17:20:43 JST","11349631063","注文","503-9987916-1387841","8Q-579N-RMNK","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","埼玉県","336-0033","","653.00","65.00","0","0","0","0","-7.00","0","0","0","-94.00","-205.00","0","0","412.00"
"2023/03/01 17:56:36 JST","11349631063","注文","503-1030004-1245468","HU-4C3A-YQ59","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の?","1","amazon.jp","Amazon","","広島県","736-0085","","2,164.00","216.00","0","0","0","0","0","0","0","0","-315.00","-318.00","0","0","1,747.00"
"2023/03/01 18:34:03 JST","11349631063","注文","503-1879263-0511809","56-XSBC-TM3R","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー?","1","amazon.jp","Amazon","","Aichi-ken","492-8272","","2,345.00","235.00","0","0","0","0","-26.00","0","0","0","-337.00","-514.00","0","0","1,703.00"
"2023/03/01 18:49:36 JST","11349631063","注文","249-9237351-5532657","RC-VY99-TAQC","【Smart-Bear】W601 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ?","1","amazon.jp","Amazon","","福岡県","819-0014","","1,618.00","162.00","0","0","0","0","-18.00","0","0","0","-232.00","-434.00","0","0","1,096.00"
"2023/03/01 19:05:37 JST","11349631063","注文","250-4082226-7495838","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","山口県","745-0845","","653.00","65.00","0","0","0","0","0","0","0","0","-95.00","-193.00","0","0","430.00"
"2023/03/01 20:30:39 JST","11349631063","注文","250-2077806-2801441","IL-1DYL-IXMN","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)","1","amazon.jp","Amazon","","千葉県","274-0069","","1,345.00","135.00","0","0","0","0","-15.00","0","0","0","-194.00","-434.00","0","0","837.00"
"2023/03/02 0:03:32 JST","11349631063","注文","250-8039902-2680640","RJ-HRS2-0QH1","【Smart-KM】E016 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 薄型 スタ?","1","amazon.jp","出品者","","千葉県","273-0021","","516.00","52.00","0","0","0","0","-6.00","0","0","0","-62.00","0","0","0","500.00"
"2023/03/02 0:11:23 JST","11349631063","注文","503-8772817-1254261","HP-XX4G-Y96M","【Smart-KM】A134 ファーウェイ Huawei P10/Huawei P10 lite/Huawei P10 Plus/honor 9対応 ケース 透明 クリアケース スマホケース","1","amazon.jp","出品者","","東京都","157-0061","","271.00","27.00","0","0","0","0","-3.00","0","0","0","-33.00","0","0","0","262.00"
"2023/03/02 3:29:48 JST","11349631063","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-27,107.00","-2,711.00","-29,818.00"
"2023/03/02 10:51:19 JST","11349631063","注文","503-0828023-8943840","M5-KPD9-RB5V","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ","1","amazon.jp","Amazon","","東京都","154-0023","","2,164.00","216.00","0","0","0","0","0","0","0","0","-315.00","-318.00","0","0","1,747.00"
