"商品","ステータス","タイプ","スポンサープロダクト広告の利用資格","売上(JPY)","ROAS","コンバージョン率","インプレッション数","クリック数","クリック率  (CTR）","広告費(JPY)","平均クリック単価 (CPC)(JPY)","注文","ACOS","新規顧客の注文","新規顧客の注文比率","新規顧客の売上(JPY)","新規顧客の売上比率","ビューアブルインプレッション"
"B07RQ4PJML-LM-W2YT-YFF8","","","利用資格あり","0.00","0.00","0.0000","18","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4V5TL-D7-IW96-J4L1","","","利用資格あり","0.00","0.00","0.0000","155","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ4X4HH-SC-L11G-UAEX","","","利用資格あり","0.00","0.00","0.0000","36","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ5DN1M-GG-3VCR-CTG2","","","利用資格あり","0.00","0.00","0.0000","69","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ5N9DN-H2-E3RM-NID1","","","広告配信の利用資格なし","0.00","0.00","0.0000","3","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ5RH2Y-F2-12TH-TN4S","","","利用資格あり","0.00","0.00","0.0000","33","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ5TWY8-LV-LGP7-RH5F","","","利用資格あり","0.00","0.00","0.0000","34","1","0.0294","4.00","4.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQ5V9L2-R2-8QYY-5OY0","","","利用資格あり","0.00","0.00","0.0000","43","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQDR8SG-BL-MMIO-NFZS","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQDTBS5-8Y-2G1L-L551","","","利用資格あり","0.00","0.00","0.0000","1473","7","0.0048","88.40","12.63","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQDXCK5-TT-YB22-DG26","","","利用資格あり","0.00","0.00","0.0000","236","2","0.0085","26.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQDXKKW-23-SVOF-WCB1","","","利用資格あり","0.00","0.00","0.0000","166","2","0.0120","26.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQDYY46-VD-ECRR-8PWJ","","","利用資格あり","0.00","0.00","0.0000","739","1","0.0014","13.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RQF1SR2-EC-RXI6-ZRMS","","","利用資格あり","0.00","0.00","0.0000","69","1","0.0145","13.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RR6Y96L-F4-DJYL-ZFI7","","","利用資格あり","0.00","0.00","0.0000","25","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RR6YYFZ-LQ-0N26-JIVF","","","利用資格あり","0.00","0.00","0.0000","74","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RR71B1P-2T-HEXS-COB6","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RR8Y437-G7-BVYT-AI93","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RR92VY8-MZ-Z063-LUOE","","","利用資格あり","0.00","0.00","0.0000","1","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRCXLD1-CB-0QZI-OQCR","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRD55DH-SI-EW2B-SYU1","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRJ3FXS-PZ-MY3D-O8VJ","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRJ6MV5-SE-OQ4V-FPIJ","","","利用資格あり","0.00","0.00","0.0000","2106","6","0.0028","75.40","12.57","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRJ6YRS-VB-1HM8-YF5D","","","利用資格あり","0.00","0.00","0.0000","1207","4","0.0033","52.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RRL7Q84-4O-JFNX-RKMV","","","利用資格あり","0.00","0.00","0.0000","417","1","0.0024","13.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RS97TQ3-O4-KJHQ-JLGU","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RS9GFCN-F0-6RN8-7FE6","","","利用資格あり","0.00","0.00","0.0000","53","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RS9PZVZ-LW-8PD5-8DC1","","","利用資格あり","0.00","0.00","0.0000","92","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSBVWBK-GY-5YV1-YMBZ","","","利用資格あり","0.00","0.00","0.0000","68","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSBWQL8-X5-LK6D-Y7G3","","","利用資格あり","0.00","0.00","0.0000","2","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSJKTMR-2Z-OH3T-ZZA7","","","利用資格あり","0.00","0.00","0.0000","1206","3","0.0025","37.63","12.54","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSL2JN6-QT-0ZSC-1WMZ","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSL2W2K-D9-5648-KNY4","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSL86XB-4A-DTGP-MQP7","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RSN6319-8U-Q7NJ-DRW2","","","利用資格あり","0.00","0.00","0.0000","713","1","0.0014","13.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTGGKQP-H3-D2Y7-HO7V","","","利用資格あり","0.00","0.00","0.0000","106","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTH7YYW-87-W2HM-4SWM","","","利用資格あり","0.00","0.00","0.0000","2","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTHQ2KZ-DU-P06F-VJBB","","","利用資格あり","0.00","0.00","0.0000","68","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTLC13X-BE-B6BI-INN8","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTLQZM8-6W-YIXA-ZQ6P","","","広告配信の利用資格なし","0.00","0.00","0.0000","440","8","0.0182","84.38","10.55","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTLZY6P-IF-CPA1-QKLN","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTM1RM4-KY-7KUB-0CGL","","","利用資格あり","0.00","0.00","0.0000","1715","1","0.0006","11.63","11.63","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTMCHRB-GF-U2DD-UGPU","","","利用資格あり","0.00","0.00","0.0000","197","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTNM2SG-Q5-QNUI-E1XW","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTPF5FL-R9-SF7M-ULZR","","","利用資格あり","0.00","0.00","0.0000","903","5","0.0055","49.19","9.84","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTQM5SH-BK-MBDJ-FND9","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTT7GB1-8C-6LFJ-DUQM","","","利用資格あり","0.00","0.00","0.0000","1015","5","0.0049","65.00","13.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RVJTTB5-I1-DFGF-BWEG","","","利用資格あり","0.00","0.00","0.0000","19","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07S4K7DXF-IR-I1X3-ET6M","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07SMBZ2ZB-GT-XJD0-RZ3X","","","利用資格あり","0.00","0.00","0.0000","1539","6","0.0039","66.31","11.05","0","0.0000","0","0.0000","0.00","0.0000","0"
