"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2023/04/01 0:08:40 JST","11370439213","注文","249-8769510-8739828","VO-S3QE-R9I5","【Smart-KM】A131 サムスンギャラクシー S8 S8+ S8 Plus S9 S9+ Note 8対応 ケース 透明 クリアケース スマホケース 高機能","1","amazon.jp","出品者","","神奈川県","232-0061","","289.00","29.00","0","0","0","0","-3.00","0","0","0","-35.00","0","0","0","280.00"
"2023/04/01 4:23:17 JST","11370439213","調整","","","その他：","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","796.00","796.00"
"2023/04/01 9:11:36 JST","11370439213","注文","503-3899954-9860650","EY-8OND-A9O0","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","愛媛県","796-8004","","2,345.00","235.00","0","0","0","0","-26.00","0","0","0","-337.00","-434.00","0","0","1,783.00"
"2023/04/01 9:35:08 JST","11370439213","注文","503-7830138-6297423","L5-KRB8-08ZT","[Smart-Bear] W111ガールズ ボーイズ 靴下 子供 キッズ 厚い 暖かい 冬用 防寒 靴下 ソックス 女の子 ウールソックス","1","amazon.jp","出品者","","長野県","386-0016","","1,255.00","125.00","0","0","0","0","0","0","0","0","-183.00","0","0","0","1,197.00"
"2023/04/01 10:16:10 JST","11370439213","注文","250-2186962-9213459","FK-SQOE-Y997","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ?","1","amazon.jp","Amazon","","神奈川県","244-0841","","1,618.00","162.00","0","0","0","0","-18.00","0","0","0","-232.00","-318.00","0","0","1,212.00"
"2023/04/01 10:44:01 JST","11370439213","注文","249-1838927-9240633","G1-CRSY-V1RT","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー?","1","amazon.jp","Amazon","","岐阜県","505-0025","","2,345.00","235.00","0","0","0","0","-26.00","0","0","0","-337.00","-514.00","0","0","1,703.00"
"2023/04/01 11:29:28 JST","11370439213","注文","249-5426579-7263866","JC-9CLM-Q8BL","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ","1","amazon.jp","Amazon","","愛知県","489-0055","","2,709.00","271.00","0","0","0","0","0","0","0","0","-492.00","-815.00","0","0","1,673.00"
"2023/04/01 11:32:49 JST","11370439213","注文","503-4397766-1423868","JC-9CLM-Q8BL","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ","1","amazon.jp","Amazon","","宮城県","981-1222","","2,709.00","271.00","0","0","0","0","0","0","0","0","-492.00","-815.00","0","0","1,673.00"
"2023/04/01 11:33:41 JST","11370439213","注文","250-9785705-9556640","B1-V2N2-J8BN","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ?","1","amazon.jp","Amazon","","千葉県","278-0047","","1,255.00","125.00","0","0","0","0","-14.00","0","0","0","-180.00","-434.00","0","0","752.00"
"2023/04/01 11:45:38 JST","11370439213","注文","503-1737074-3532661","8Q-VTYS-YQ5Z","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","amazon.jp","Amazon","","北海道","063-0863","","1,436.00","144.00","0","0","0","0","-16.00","0","0","0","-207.00","-434.00","0","0","923.00"
"2023/04/01 12:13:02 JST","11370439213","注文","250-6454957-7426224","SE-6APE-EDI4","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ?","1","amazon.jp","Amazon","","静岡県","420-0949","","1,618.00","162.00","0","0","0","0","-18.00","0","0","0","-232.00","-318.00","0","0","1,212.00"
