"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2023/09/01 0:28:44 JST","11486419763","注文","503-8021849-8016657","LM-A6Y1-2K0H","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー?","1","amazon.jp","Amazon","敦賀市桜ケ丘町","福井県","914-0195","","2,389.00","191.00","124.00","12.00","0","0","-26.00","-124.00","-12.00","0","-337.00","-465.00","0","0","1,752.00"
"2023/09/01 0:49:44 JST","11486419763","注文","249-9411576-5747844","91-7A3K-7U8I","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)","1","amazon.jp","Amazon","","大阪府","569-1042","","1,278.00","102.00","75.00","7.00","0","0","-14.00","-75.00","-7.00","0","-180.00","-434.00","0","0","752.00"
"2023/09/01 4:11:49 JST","11486419763","注文","249-6805846-2479810","DH-BSJW-QLKQ","[Smart-Bear] W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可?","1","amazon.jp","Amazon","","広島県","731-0103","","1,185.00","95.00","0","0","0","0","-13.00","0","0","0","-167.00","-318.00","0","0","782.00"
"2023/09/01 7:16:32 JST","11486419763","注文","249-5863067-1683858","1Y-5L5D-QYMK","[Smart-Bear] W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可?","1","amazon.jp","Amazon","","埼玉県","333-0853","","1,185.00","95.00","0","0","0","0","-13.00","0","0","0","-167.00","-465.00","0","0","635.00"
"2023/09/01 8:52:51 JST","11486419763","注文","250-6856700-0121413","M9-RIG5-DRKF","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)","1","amazon.jp","Amazon","","埼玉県","340-0035","","1,370.00","110.00","0","0","0","0","-15.00","0","0","0","-194.00","-434.00","0","0","837.00"
"2023/09/01 22:17:03 JST","11486419763","注文","250-2514344-8192623","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","静岡県","419-0114","","665.00","53.00","0","0","0","0","-7.00","0","0","0","-94.00","-208.00","0","0","409.00"
"2023/09/02 0:53:32 JST","11486419763","注文","503-3823443-6646246","AM-5SQ0-118U","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","千葉県","266-0031","","2,019.00","161.00","0","0","0","0","-22.00","0","0","0","-285.00","-485.00","0","0","1,388.00"
"2023/09/02 5:36:33 JST","11486419763","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-38,252.00","-3,825.00","-42,077.00"
"2023/09/02 11:43:47 JST","11486419763","注文","250-6725283-2459816","L7-WXI9-AW9P","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ","1","amazon.jp","Amazon","","東京都","206-0013","","2,204.00","176.00","373.00","37.00","0","0","-24.00","-373.00","-37.00","0","-311.00","-318.00","0","0","1,727.00"
"2023/09/03 1:34:27 JST","11486419763","注文","250-7214137-8471802","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","大阪府","555-0001","","665.00","53.00","0","0","0","0","-7.00","0","0","0","-94.00","-208.00","0","0","409.00"
"2023/09/03 3:17:42 JST","11486419763","注文","503-2756503-9030239","FK-SQOE-Y997","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ?","1","amazon.jp","Amazon","","千葉県","272-0111","","1,648.00","132.00","0","0","0","0","-18.00","0","0","0","-232.00","-318.00","0","0","1,212.00"
"2023/09/03 6:10:54 JST","11486419763","注文","503-5600587-0795818","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","東京都","125-0063","","665.00","53.00","0","0","0","0","-7.00","0","0","0","-94.00","-208.00","0","0","409.00"
"2023/09/03 10:23:42 JST","11486419763","注文","503-2824839-0015002","RV-6PGA-WUBW","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","静岡県","430-0823","","2,389.00","191.00","186.00","19.00","0","0","-26.00","-186.00","-19.00","0","-337.00","-485.00","0","0","1,732.00"
"2023/09/03 22:32:37 JST","11486419763","FBA 在庫関連の手数料","2308271P3W","","FBA在庫の返送手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-45.00","-45.00"
"2023/09/03 22:32:40 JST","11486419763","FBA 在庫関連の手数料","2308271P3W","","FBA在庫の返送手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-90.00","-90.00"
"2023/09/03 22:32:58 JST","11486419763","FBA 在庫関連の手数料","2308271P3W","","FBA在庫の返送手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-90.00","-90.00"
"2023/09/03 22:32:58 JST","11486419763","FBA 在庫関連の手数料","2308271P3W","","FBA在庫の返送手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-135.00","-135.00"
"2023/09/03 22:33:13 JST","11486419763","FBA 在庫関連の手数料","2308271P3W","","FBA在庫の返送手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-45.00","-45.00"
"2023/09/03 23:33:33 JST","11486419763","注文","250-6529577-4033417","IL-1DYL-IXMN","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)","1","amazon.jp","Amazon","","千葉県","287-0003","","1,370.00","110.00","0","0","0","0","-15.00","0","0","0","-194.00","-434.00","0","0","837.00"
"2023/09/04 0:03:44 JST","11486419763","注文","503-0016206-7574274","R2-MSJY-7BCU","【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型","1","amazon.jp","出品者","","福岡県","810-0035","","369.00","29.00","0","0","0","0","-4.00","0","0","0","-43.00","0","0","0","351.00"
"2023/09/04 4:40:31 JST","11486419763","注文","503-6128382-5451855","IL-1DYL-IXMN","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)","1","amazon.jp","Amazon","","青森県","036-8163","","1,370.00","110.00","0","0","0","0","-15.00","0","0","0","-194.00","-434.00","0","0","837.00"
"2023/09/04 5:12:22 JST","11486419763","注文","503-4916276-9532643","91-7A3K-7U8I","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)","1","amazon.jp","Amazon","","福岡県","814-0113","","1,278.00","102.00","0","0","0","0","-14.00","0","0","0","-180.00","-434.00","0","0","752.00"
