"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B089Y6YY1T","X000UXXD6P","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_20_point_0_centimeters)","HND6","JP","27.8","21.8","8.2","centimeters","0.58","kilograms","0.005","cubic meters","Standard-Size","0.4","0.0","0.002","2022-09","2818.0","JPY","5.6582","Shoes","0.0","--","0.0"
"B09838NFL3","X000Y3RL19","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_22_point_5_centimeters)","HND6","JP","28.0","25.0","8.0","centimeters","0.82","kilograms","0.0056","cubic meters","Standard-Size","1.0","0.0","0.0056","2022-09","2818.0","JPY","15.9401","Shoes","0.0","--","0.0"
"B098DW4D5R","X000Y4PEDP","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_22_point_5_centimeters)","HND6","JP","27.6","23.6","6.5","centimeters","0.68","kilograms","0.0042","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2022-09","2818.0","JPY","0.4017","Shoes","0.0","--","0.0"
"B09P8SVSXS","X000ZN76Q3","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットA)","HND6","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.5","0.0","3.0E-4","2022-09","2818.0","JPY","0.601","Clothing","0.0","--","0.07"
"B07RSL86XB","X000RJ6VAH","【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (M)","HND9","JP","17.0","7.4","4.2","centimeters","0.18","kilograms","5.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.0495","Clothing","0.0","--","0.0"
"B07ZDCX7QY","X000SYGQ5L","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2022-09","2818.0","JPY","9.783","Clothing","0.0","--","0.0"
"B07ZDDSYD7","X000SYGQ5V","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, Best layers)","HND9","JP","25.8","18.8","3.4","centimeters","0.24","kilograms","0.0016","cubic meters","Standard-Size","2.0","0.0","0.0033","2022-09","2818.0","JPY","9.267","Clothing","0.0","--","0.0"
"B07ZDDPPQW","X000SYH6RN","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, ブルー森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","3.0","0.0","0.0052","2022-09","2818.0","JPY","14.6745","Clothing","0.0","--","0.0"
"B07ZDCMTSZ","X000SYH6RX","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (120cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2022-09","2818.0","JPY","9.783","Clothing","0.0","--","0.0"
"B07ZDD5T4V","X000SYH6SH","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (110cm, Best layers)","HND9","JP","26.0","18.8","3.6","centimeters","0.26","kilograms","0.0018","cubic meters","Standard-Size","3.0","0.0","0.0053","2022-09","2818.0","JPY","14.8323","Clothing","0.0","--","0.0"
