"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07RNDMDMY","X000RJN8F3","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","FSZ1","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2023-04","2818.0","JPY","0.1179","Clothing","0.0","--","0.0"
"B07SXR9R43","X000RS9911","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)","FSZ1","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","0.87","0.0","0.0012","2023-04","2818.0","JPY","3.1966","Clothing","0.0","--","0.0"
"B0829T96PP","X000TC1RGZ","[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, 自動車柄)","FSZ1","JP","21.5","9.0","4.7","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.27","0.0","2.0E-4","2023-04","2818.0","JPY","0.6689","Clothing","0.0","--","0.0"
"B0829TMRDC","X000TC4Q7R","[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (S, 自動車柄)","FSZ1","JP","17.8","8.2","4.8","centimeters","0.12","kilograms","7.0E-4","cubic meters","Standard-Size","0.1","0.0","0.0","2023-04","2818.0","JPY","0.1288","Clothing","0.0","--","0.03"
"B0782RGD4B","X000WRDOQD","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)","FSZ1","JP","21.39","17.0","2.39","centimeters","0.18","kilograms","9.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2023-04","2818.0","JPY","0.0799","Clothing","0.0","--","0.0"
"B0782VLBQ7","X000WRDPNZ","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)","FSZ1","JP","21.39","17.0","2.39","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.1","0.0","1.0E-4","2023-04","2818.0","JPY","0.2397","Clothing","0.0","--","0.0"
"B093JZ2JB9","X000XKMSON","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, s)","FSZ1","JP","21.4","8.8","4.2","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","1.0","0.0","8.0E-4","2023-04","2818.0","JPY","2.1816","Clothing","0.0","--","0.0"
"B093KC4M19","X000XKQ46L","[Smart-Bear] W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, x_l)","FSZ1","JP","33.53","18.28","3.04","centimeters","0.18","kilograms","0.0019","cubic meters","Standard-Size","2.0","0.0","0.0037","2023-04","2818.0","JPY","10.2786","Clothing","0.0","--","0.0"
"B07S4K7DXF","X000YPFV3R","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレスチャージャー アップルウォッチ Apple iWatch シリーズ 4/3/2/1全対応 (白)","FSZ1","JP","11.18","7.87","1.78","centimeters","0.05","kilograms","2.0E-4","cubic meters","Standard-Size","1.47","0.0","2.0E-4","2023-04","5160.0","JPY","1.0","Others","0.0","--","0.0"
"B09P8V2ZC7","X000ZN6XDP","[Smart-KM] S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)","FSZ1","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2023-04","2818.0","JPY","0.1079","Clothing","0.0","--","0.0"
"B07SR6GSLT","X000YPEVHT","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デスク 卓上 収納整理 便利","HND3","JP","57.8","17.6","6.6","centimeters","1.02","kilograms","0.0067","cubic meters","Oversize","0.53","0.3","0.0016","2023-04","3973.0","JPY","6.0","Others","0.0","--","0.0"
"B07RP581QF","X000RKID9X","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)","HND6","JP","29.4","24.0","2.4","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2023-04","2818.0","JPY","0.1571","Clothing","0.0","--","0.0"
"B07K5S4TZ9","X000RS97BN","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)","HND6","JP","20.19","16.0","3.2","centimeters","0.14","kilograms","0.001","cubic meters","Standard-Size","0.07","0.0","0.0","2023-04","2818.0","JPY","0.0959","Clothing","0.0","--","0.03"
"B07K5QMCP2","X000RT5CCP","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","HND6","JP","20.0","17.19","3.2","centimeters","0.08","kilograms","0.0011","cubic meters","Standard-Size","0.03","0.0","0.0","2023-04","2818.0","JPY","0.102","Clothing","0.0","--","0.0"
"B07ZDDHLKC","X000SYH6S7","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (130cm, Best layers)","HND6","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","0.07","0.0","1.0E-4","2023-04","2818.0","JPY","0.1615","Clothing","0.0","--","0.03"
"B0888D9C3Y","X000UMZTOP","[Smart-Bear] W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (S)","HND6","JP","16.8","7.4","4.59","centimeters","0.12","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-04","2818.0","JPY","1.5876","Clothing","0.0","--","0.0"
"B0782VLBQ7","X000WRDPNZ","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)","HND6","JP","21.39","17.0","2.39","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2023-04","2818.0","JPY","0.0806","Clothing","0.0","--","0.0"
"B0782N7XDJ","X000WRDZ6R","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","HND6","JP","29.0","25.0","1.5","centimeters","0.22","kilograms","0.0011","cubic meters","Standard-Size","0.6","0.0","7.0E-4","2023-04","2818.0","JPY","1.8154","Clothing","0.0","--","0.0"
"B07ZDCX7QY","X000SYGQ5L","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2023-04","2818.0","JPY","9.757","Clothing","0.0","--","0.0"
"B07ZDDSYD7","X000SYGQ5V","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, Best layers)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2023-04","2818.0","JPY","9.757","Clothing","0.0","--","0.0"
"B07ZDDPPQW","X000SYH6RN","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, ブルー森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","3.0","0.0","0.0052","2023-04","2818.0","JPY","14.6354","Clothing","0.0","--","0.0"
"B07ZDCMTSZ","X000SYH6RX","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (120cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2023-04","2818.0","JPY","9.757","Clothing","0.0","--","0.0"
"B07ZDD5T4V","X000SYH6SH","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (110cm, Best layers)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","3.0","0.0","0.0052","2023-04","2818.0","JPY","14.6354","Clothing","0.0","--","0.0"
"B07ZDCY8YD","X000SYH8K3","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (110cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-04","2818.0","JPY","4.8785","Clothing","0.0","--","0.0"
"B088D9QHN4","X000UNOU2L","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (笑い顔, M:13?15cm(3-4歳))","HND9","JP","17.6","8.4","4.4","centimeters","0.1","kilograms","7.0E-4","cubic meters","Standard-Size","0.9","0.0","6.0E-4","2023-04","2818.0","JPY","1.5798","Clothing","0.0","--","0.03"
"B07RQ5N9DN","X000RJJNMZ","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ピンク)","KIX1","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","1.0","0.0","0.0021","2023-04","2818.0","JPY","5.8534","Clothing","0.0","--","0.0"
"B07K5R541S","X000RS957T","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)","KIX1","JP","19.8","16.6","3.2","centimeters","0.12","kilograms","0.0011","cubic meters","Standard-Size","0.03","0.0","0.0","2023-04","2818.0","JPY","0.0982","Clothing","0.0","--","0.0"
"B07STZQL61","X000RTDFPB","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)","KIX1","JP","21.19","8.59","5.0","centimeters","0.22","kilograms","9.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2023-04","2818.0","JPY","0.085","Clothing","0.0","--","0.0"
"B07C76HLX1","X000YPEK2Z","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ピンク)","KIX1","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.1","0.0","1.0E-4","2023-04","2818.0","JPY","0.1644","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","KIX1","JP","17.2","14.3","1.2","centimeters","0.01","kilograms","3.0E-4","cubic meters","Standard-Size","0.97","0.0","3.0E-4","2023-04","2818.0","JPY","0.7991","Clothing","0.0","--","0.0"
"B07RNDMDMY","X000RJN8F3","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","KIX3","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.13","0.0","1.0E-4","2023-04","2818.0","JPY","0.2428","Clothing","0.0","--","0.0"
"B07RRJ2MLN","X000RKL9N5","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)","KIX3","JP","21.6","8.8","4.6","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.5","0.0","4.0E-4","2023-04","2818.0","JPY","1.2409","Clothing","0.0","--","0.0"
